SKU,NAME,UPC
TURF-VOLT-8,SIS X Lite Turf Shoes (Volt) (8),146240000075
TURF-VOLT-9,SIS X Lite Turf Shoes (Volt) (9),146240000076
TURF-VOLT-9.5,SIS X Lite Turf Shoes (Volt) (9.5),146240000077
XLITE2-AUTISM-10,"SIS X Lite II Turf Shoes (10, Autism)",146240000078
XLITE2-AUTISM-10.5,"SIS X Lite II Turf Shoes (10.5, Autism)",146240000079
XLITE2-AUTISM-11,"SIS X Lite II Turf Shoes (11, Autism)",146240000080
XLITE2-AUTISM-12,"SIS X Lite II Turf Shoes (12, Autism)",146240000081
XLITE2-AUTISM-13,"SIS X Lite II Turf Shoes (13, Autism)",146240000082
XLITE2-AUTISM-14,"SIS X Lite II Turf Shoes (14, Autism)",146240000083
XLITE2-AUTISM-5,"SIS X Lite II Turf Shoes (5, Autism)",146240000084
XLITE2-AUTISM-6,"SIS X Lite II Turf Shoes (6, Autism)",146240000085
XLITE2-AUTISM-7,"SIS X Lite II Turf Shoes (7, Autism)",146240000086
XLITE2-AUTISM-8,"SIS X Lite II Turf Shoes (8, Autism)",146240000087
XLITE2-AUTISM-9,"SIS X Lite II Turf Shoes (9, Autism)",146240000088
XLITE2-AUTISM-9.5,"SIS X Lite II Turf Shoes (9.5, Autism)",146240000089
XLITE2-Black/White 10,"SIS X Lite II Turf Shoes (10, Black/White)",146240000090
XLITE2-Black/White 10.5,"SIS X Lite II Turf Shoes (10.5, Black/White)",146240000091
XLITE2-Black/White 11,"SIS X Lite II Turf Shoes (11, Black/White)",146240000092
XLITE2-Black/White 12,"SIS X Lite II Turf Shoes (12, Black/White)",146240000093
XLITE2-Black/White 13,"SIS X Lite II Turf Shoes (13, Black/White)",146240000094
XLITE2-Black/White 14,"SIS X Lite II Turf Shoes (14, Black/White)",146240000095
XLITE2-Black/White 5,"SIS X Lite II Turf Shoes (5, Black/White)",146240000096
XLITE2-Black/White 6,"SIS X Lite II Turf Shoes (6, Black/White)",146240000097
XLITE2-Black/White 7,"SIS X Lite II Turf Shoes (7, Black/White)",146240000098
XLITE2-Black/White 8,"SIS X Lite II Turf Shoes (8, Black/White)",146240000099
XLITE2-Black/White 9,"SIS X Lite II Turf Shoes (9, Black/White)",146240000100
XLITE2-Black/White 9.5,"SIS X Lite II Turf Shoes (9.5, Black/White)",146240000101
XLITE2-BLACK-10,"SIS X Lite II Turf Shoes (10, Black)",146240000102
XLITE2-BLACK-10.5,"SIS X Lite II Turf Shoes (10.5, Black)",146240000103
XLITE2-BLACK-11,"SIS X Lite II Turf Shoes (11, Black)",146240000104
XLITE2-BLACK-12,"SIS X Lite II Turf Shoes (12, Black)",146240000105
XLITE2-BLACK-13,"SIS X Lite II Turf Shoes (13, Black)",146240000106
XLITE2-BLACK-14,"SIS X Lite II Turf Shoes (14, Black)",146240000107
XLITE2-BLACK-5,"SIS X Lite II Turf Shoes (5, Black)",146240000108
XLITE2-BLACK-6,"SIS X Lite II Turf Shoes (6, Black)",146240000109
XLITE2-BLACK-7,"SIS X Lite II Turf Shoes (7, Black)",146240000110
XLITE2-BLACK-8,"SIS X Lite II Turf Shoes (8, Black)",146240000111
XLITE2-BLACK-9,"SIS X Lite II Turf Shoes (9, Black)",146240000112
XLITE2-BLACK-9.5,"SIS X Lite II Turf Shoes (9.5, Black)",146240000113
XLITE2-BLUE-10,"SIS X Lite II Turf Shoes (10, Blue)",146240000114
XLITE2-BLUE-10.5,"SIS X Lite II Turf Shoes (10.5, Blue)",146240000115
XLITE2-BLUE-11,"SIS X Lite II Turf Shoes (11, Blue)",146240000116
XLITE2-BLUE-12,"SIS X Lite II Turf Shoes (12, Blue)",146240000117
XLITE2-BLUE-13,"SIS X Lite II Turf Shoes (13, Blue)",146240000118
XLITE2-BLUE-14,"SIS X Lite II Turf Shoes (14, Blue)",146240000119
XLITE2-BLUE-5,"SIS X Lite II Turf Shoes (5, Blue)",146240000120
XLITE2-BLUE-6,"SIS X Lite II Turf Shoes (6, Blue)",146240000121
XLITE2-BLUE-7,"SIS X Lite II Turf Shoes (7, Blue)",146240000122
XLITE2-BLUE-8,"SIS X Lite II Turf Shoes (8, Blue)",146240000123
XLITE2-BLUE-9,"SIS X Lite II Turf Shoes (9, Blue)",146240000124
XLITE2-BLUE-9.5,"SIS X Lite II Turf Shoes (9.5, Blue)",146240000125
XLITE2-CAROLINA-10,"SIS X Lite II Turf Shoes (10, Carolina)",146240000126
XLITE2-CAROLINA-10.5,"SIS X Lite II Turf Shoes (10.5, Carolina)",146240000127
XLITE2-CAROLINA-11,"SIS X Lite II Turf Shoes (11, Carolina)",146240000128
XLITE2-CAROLINA-12,"SIS X Lite II Turf Shoes (12, Carolina)",146240000129
XLITE2-CAROLINA-13,"SIS X Lite II Turf Shoes (13, Carolina)",146240000130
XLITE2-CAROLINA-14,"SIS X Lite II Turf Shoes (14, Carolina)",146240000131
XLITE2-CAROLINA-5,"SIS X Lite II Turf Shoes (5, Carolina)",146240000132
XLITE2-CAROLINA-6,"SIS X Lite II Turf Shoes (6, Carolina)",146240000133
XLITE2-CAROLINA-7,"SIS X Lite II Turf Shoes (7, Carolina)",146240000134
XLITE2-CAROLINA-8,"SIS X Lite II Turf Shoes (8, Carolina)",146240000135
XLITE2-CAROLINA-9,"SIS X Lite II Turf Shoes (9, Carolina)",146240000136
XLITE2-CAROLINA-9.5,"SIS X Lite II Turf Shoes (9.5, Carolina)",146240000137
XLITE2-CHAMELEON-10,"SIS X Lite II Turf Shoes (10, Chameleon)",146240000138
XLITE2-CHAMELEON-10.5,"SIS X Lite II Turf Shoes (10.5, Chameleon)",146240000139
XLITE2-CHAMELEON-11,"SIS X Lite II Turf Shoes (11, Chameleon)",146240000140
XLITE2-CHAMELEON-12,"SIS X Lite II Turf Shoes (12, Chameleon)",146240000141
XLITE2-CHAMELEON-13,"SIS X Lite II Turf Shoes (13, Chameleon)",146240000142
XLITE2-CHAMELEON-14,"SIS X Lite II Turf Shoes (14, Chameleon)",146240000143
XLITE2-CHAMELEON-5,"SIS X Lite II Turf Shoes (5, Chameleon)",146240000144
XLITE2-CHAMELEON-6,"SIS X Lite II Turf Shoes (6, Chameleon)",146240000145
XLITE2-CHAMELEON-7,"SIS X Lite II Turf Shoes (7, Chameleon)",146240000146
XLITE2-CHAMELEON-8,"SIS X Lite II Turf Shoes (8, Chameleon)",146240000147
XLITE2-CHAMELEON-9,"SIS X Lite II Turf Shoes (9, Chameleon)",146240000148
XLITE2-CHAMELEON-9.5,"SIS X Lite II Turf Shoes (9.5, Chameleon)",146240000149
XLITE2-FLAG RED 10,"SIS X Lite II Turf Shoes (10, USA Red)",146240000150
XLITE2-FLAG RED 10.5,"SIS X Lite II Turf Shoes (10.5, USA Red)",146240000151
XLITE2-FLAG RED 11,"SIS X Lite II Turf Shoes (11, USA Red)",146240000152
XLITE2-FLAG RED 12,"SIS X Lite II Turf Shoes (12, USA Red)",146240000153
XLITE2-FLAG RED 13,"SIS X Lite II Turf Shoes (13, USA Red)",146240000154
XLITE2-FLAG RED 14,"SIS X Lite II Turf Shoes (14, USA Red)",146240000155
XLITE2-FLAG RED 5,"SIS X Lite II Turf Shoes (5, USA Red)",146240000156
XLITE2-FLAG RED 6,"SIS X Lite II Turf Shoes (6, USA Red)",146240000157
XLITE2-FLAG RED 7,"SIS X Lite II Turf Shoes (7, USA Red)",146240000158
XLITE2-FLAG RED 8,"SIS X Lite II Turf Shoes (8, USA Red)",146240000159
XLITE2-FLAG RED 9,"SIS X Lite II Turf Shoes (9, USA Red)",146240000160
XLITE2-FLAG RED 9.5,"SIS X Lite II Turf Shoes (9.5, USA Red)",146240000161
XLITE2-Navy/Silver 10,"SIS X Lite II Turf Shoes (10, Navy/Silver)",146240000162
XLITE2-Navy/Silver 10.5,"SIS X Lite II Turf Shoes (10.5, Navy/Silver)",146240000163
XLITE2-Navy/Silver 11,"SIS X Lite II Turf Shoes (11, Navy/Silver)",146240000164
XLITE2-Navy/Silver 12,"SIS X Lite II Turf Shoes (12, Navy/Silver)",146240000165
XLITE2-Navy/Silver 13,"SIS X Lite II Turf Shoes (13, Navy/Silver)",146240000166
XLITE2-Navy/Silver 14,"SIS X Lite II Turf Shoes (14, Navy/Silver)",146240000167
XLITE2-Navy/Silver 5,"SIS X Lite II Turf Shoes (5, Navy/Silver)",146240000168
XLITE2-Navy/Silver 6,"SIS X Lite II Turf Shoes (6, Navy/Silver)",146240000169
XLITE2-Navy/Silver 7,"SIS X Lite II Turf Shoes (7, Navy/Silver)",146240000170
XLITE2-Navy/Silver 8,"SIS X Lite II Turf Shoes (8, Navy/Silver)",146240000171
XLITE2-Navy/Silver 9,"SIS X Lite II Turf Shoes (9, Navy/Silver)",146240000172
XLITE2-Navy/Silver 9.5,"SIS X Lite II Turf Shoes (9.5, Navy/Silver)",146240000173
XLITE2-NEONGREEN-10,"SIS X Lite II Turf Shoes (10, Neon Green)",146240000174
XLITE2-NEONGREEN-10.5,"SIS X Lite II Turf Shoes (10.5, Neon Green)",146240000175
XLITE2-NEONGREEN-11,"SIS X Lite II Turf Shoes (11, Neon Green)",146240000176
XLITE2-NEONGREEN-12,"SIS X Lite II Turf Shoes (12, Neon Green)",146240000177
XLITE2-NEONGREEN-13,"SIS X Lite II Turf Shoes (13, Neon Green)",146240000178
XLITE2-NEONGREEN-14,"SIS X Lite II Turf Shoes (14, Neon Green)",146240000179
XLITE2-NEONGREEN-5,"SIS X Lite II Turf Shoes (5, Neon Green)",146240000180
XLITE2-NEONGREEN-6,"SIS X Lite II Turf Shoes (6, Neon Green)",146240000181
XLITE2-NEONGREEN-7,"SIS X Lite II Turf Shoes (7, Neon Green)",146240000182
XLITE2-NEONGREEN-8,"SIS X Lite II Turf Shoes (8, Neon Green)",146240000183
XLITE2-NEONGREEN-9,"SIS X Lite II Turf Shoes (9, Neon Green)",146240000184
XLITE2-NEONGREEN-9.5,"SIS X Lite II Turf Shoes (9.5, Neon Green)",146240000185
XLITE2-NEONYEL/VOLT-10,"SIS X Lite II Turf Shoes (10, Neon Yellow/Volt)",146240000186
XLITE2-NEONYEL/VOLT-10.5,"SIS X Lite II Turf Shoes (10.5, Neon Yellow/Volt)",146240000187
XLITE2-NEONYEL/VOLT-11,"SIS X Lite II Turf Shoes (11, Neon Yellow/Volt)",146240000188
XLITE2-NEONYEL/VOLT-12,"SIS X Lite II Turf Shoes (12, Neon Yellow/Volt)",146240000189
XLITE2-NEONYEL/VOLT-13,"SIS X Lite II Turf Shoes (13, Neon Yellow/Volt)",146240000190
XLITE2-NEONYEL/VOLT-14,"SIS X Lite II Turf Shoes (14, Neon Yellow/Volt)",146240000191
XLITE2-NEONYEL/VOLT-5,"SIS X Lite II Turf Shoes (5, Neon Yellow/Volt)",146240000192
XLITE2-NEONYEL/VOLT-6,"SIS X Lite II Turf Shoes (6, Neon Yellow/Volt)",146240000193
XLITE2-NEONYEL/VOLT-7,"SIS X Lite II Turf Shoes (7, Neon Yellow/Volt)",146240000194
XLITE2-NEONYEL/VOLT-8,"SIS X Lite II Turf Shoes (8, Neon Yellow/Volt)",146240000195
XLITE2-NEONYEL/VOLT-9,"SIS X Lite II Turf Shoes (9, Neon Yellow/Volt)",146240000196
XLITE2-NEONYEL/VOLT-9.5,"SIS X Lite II Turf Shoes (9.5, Neon Yellow/Volt)",146240000197
XLITE2-ORANGE-10,"SIS X Lite II Turf Shoes (10, Orange)",146240000198
XLITE2-ORANGE-10.5,"SIS X Lite II Turf Shoes (10.5, Orange)",146240000199
XLITE2-ORANGE-11,"SIS X Lite II Turf Shoes (11, Orange)",146240000200
XLITE2-ORANGE-12,"SIS X Lite II Turf Shoes (12, Orange)",146240000201
XLITE2-ORANGE-13,"SIS X Lite II Turf Shoes (13, Orange)",146240000202
XLITE2-ORANGE-14,"SIS X Lite II Turf Shoes (14, Orange)",146240000203
XLITE2-ORANGE-5,"SIS X Lite II Turf Shoes (5, Orange)",146240000204
XLITE2-ORANGE-6,"SIS X Lite II Turf Shoes (6, Orange)",146240000205
XLITE2-ORANGE-7,"SIS X Lite II Turf Shoes (7, Orange)",146240000206
XLITE2-ORANGE-8,"SIS X Lite II Turf Shoes (8, Orange)",146240000207
XLITE2-ORANGE-9,"SIS X Lite II Turf Shoes (9, Orange)",146240000208
XLITE2-ORANGE-9.5,"SIS X Lite II Turf Shoes (9.5, Orange)",146240000209
XLITE2-PINK-10,"SIS X Lite II Turf Shoes (10, Pink)",146240000210
XLITE2-PINK-10.5,"SIS X Lite II Turf Shoes (10.5, Pink)",146240000211
XLITE2-PINK-11,"SIS X Lite II Turf Shoes (11, Pink)",146240000212
XLITE2-PINK-12,"SIS X Lite II Turf Shoes (12, Pink)",146240000213
XLITE2-PINK-13,"SIS X Lite II Turf Shoes (13, Pink)",146240000214
XLITE2-PINK-14,"SIS X Lite II Turf Shoes (14, Pink)",146240000215
XLITE2-PINK-5,"SIS X Lite II Turf Shoes (5, Pink)",146240000216
XLITE2-PINK-6,"SIS X Lite II Turf Shoes (6, Pink)",146240000217
XLITE2-PINK-7,"SIS X Lite II Turf Shoes (7, Pink)",146240000218
XLITE2-PINK-8,"SIS X Lite II Turf Shoes (8, Pink)",146240000219
XLITE2-PINK-9,"SIS X Lite II Turf Shoes (9, Pink)",146240000220
XLITE2-PINK-9.5,"SIS X Lite II Turf Shoes (9.5, Pink)",146240000221
XLITE2-PLATINUM-10,"SIS X Lite II Turf Shoes (10, Platinum)",146240000222
XLITE2-PLATINUM-10.5,"SIS X Lite II Turf Shoes (10.5, Platinum)",146240000223
XLITE2-PLATINUM-11,"SIS X Lite II Turf Shoes (11, Platinum)",146240000224
XLITE2-PLATINUM-12,"SIS X Lite II Turf Shoes (12, Platinum)",146240000225
XLITE2-PLATINUM-13,"SIS X Lite II Turf Shoes (13, Platinum)",146240000226
XLITE2-PLATINUM-14,"SIS X Lite II Turf Shoes (14, Platinum)",146240000227
XLITE2-PLATINUM-5,"SIS X Lite II Turf Shoes (5, Platinum)",146240000228
XLITE2-PLATINUM-6,"SIS X Lite II Turf Shoes (6, Platinum)",146240000229
XLITE2-PLATINUM-7,"SIS X Lite II Turf Shoes (7, Platinum)",146240000230
XLITE2-PLATINUM-8,"SIS X Lite II Turf Shoes (8, Platinum)",146240000231
XLITE2-PLATINUM-9,"SIS X Lite II Turf Shoes (9, Platinum)",146240000232
XLITE2-PLATINUM-9.5,"SIS X Lite II Turf Shoes (9.5, Platinum)",146240000233
XLITE2-PURPLE/GOLD-10,"SIS X Lite II Turf Shoes (10, Purple/Gold)",146240000234
XLITE2-PURPLE/GOLD-10.5,"SIS X Lite II Turf Shoes (10.5, Purple/Gold)",146240000235
XLITE2-PURPLE/GOLD-11,"SIS X Lite II Turf Shoes (11, Purple/Gold)",146240000236
XLITE2-PURPLE/GOLD-12,"SIS X Lite II Turf Shoes (12, Purple/Gold)",146240000237
XLITE2-PURPLE/GOLD-13,"SIS X Lite II Turf Shoes (13, Purple/Gold)",146240000238
XLITE2-PURPLE/GOLD-14,"SIS X Lite II Turf Shoes (14, Purple/Gold)",146240000239
XLITE2-PURPLE/GOLD-5,"SIS X Lite II Turf Shoes (5, Purple/Gold)",146240000240
XLITE2-PURPLE/GOLD-6,"SIS X Lite II Turf Shoes (6, Purple/Gold)",146240000241
XLITE2-PURPLE/GOLD-7,"SIS X Lite II Turf Shoes (7, Purple/Gold)",146240000242
XLITE2-PURPLE/GOLD-8,"SIS X Lite II Turf Shoes (8, Purple/Gold)",146240000243
XLITE2-PURPLE/GOLD-9,"SIS X Lite II Turf Shoes (9, Purple/Gold)",146240000244
XLITE2-PURPLE/GOLD-9.5,"SIS X Lite II Turf Shoes (9.5, Purple/Gold)",146240000245
XLITE2-PURPLE-10,"SIS X Lite II Turf Shoes (10, Purple)",146240000246
XLITE2-PURPLE-10.5,"SIS X Lite II Turf Shoes (10.5, Purple)",146240000247
XLITE2-PURPLE-11,"SIS X Lite II Turf Shoes (11, Purple)",146240000248
XLITE2-PURPLE-12,"SIS X Lite II Turf Shoes (12, Purple)",146240000249
XLITE2-PURPLE-13,"SIS X Lite II Turf Shoes (13, Purple)",146240000250
XLITE2-PURPLE-14,"SIS X Lite II Turf Shoes (14, Purple)",146240000251
XLITE2-PURPLE-5,"SIS X Lite II Turf Shoes (5, Purple)",146240000252
XLITE2-PURPLE-6,"SIS X Lite II Turf Shoes (6, Purple)",146240000253
XLITE2-PURPLE-7,"SIS X Lite II Turf Shoes (7, Purple)",146240000254
XLITE2-PURPLE-8,"SIS X Lite II Turf Shoes (8, Purple)",146240000255
XLITE2-PURPLE-9,"SIS X Lite II Turf Shoes (9, Purple)",146240000256
XLITE2-PURPLE-9.5,"SIS X Lite II Turf Shoes (9.5, Purple)",146240000257
XLITE2-RED-10,"SIS X Lite II Turf Shoes (10, Red)",146240000258
XLITE2-RED-10.5,"SIS X Lite II Turf Shoes (10.5, Red)",146240000259
XLITE2-RED-11,"SIS X Lite II Turf Shoes (11, Red)",146240000260
XLITE2-RED-12,"SIS X Lite II Turf Shoes (12, Red)",146240000261
